Tag,Content
GetEgg,"Fine, you can have it back.|(She gives you the egg back.)"
SitTogether,Have a seat.  (She taps twice on|the couch and you sit next to her.)
CannottSitRestrained,You should get out of your restrains first.
GreatDate,Me and you on a date tonight?|Oh yes!  That would be amazing.
NoTimeToDraw,(You don't have enough time left.)
JumpOffWorry,"(Seeing the item, she jumps off the couch.)|Wait!  What are you doing?  What is that?"
RefuseBondage,(She sees the item and pushes you away.)|(You need +5 submission to use it on her.)
TurnTablesFromItem,(She sees the item but quickly overpowers|you and restrains you with your own gears.)
TurnTablesFromTalk,I have a better idea.  You could try a bondage|adventure.  (She restrains you with your items.)
AcceptRelease,"Very well, I will try to help.|(She releases you as best as she can.)"
Crop,(You whip her a few times with the|crop while she cries and whimpers.)
Collar,(You need +20 submission or better|and a special ceremony to collar a student.)
Rope,(She looks nervous while you carefully|wrap the rope around her naked body.)
TwoRopes,(You pick a second rope and tie|her legs in a kneeling position.)
Armbinder,"(You slide her arms in the leather|armbinder, lace it and strap it tight.)"
Cuffs,(She frowns and trembles while you grab|her hands and cuff them behind her back.)
BallGag,(She struggles and pouts but you're|able to strap the gag on her head.)
TapeGag,(She struggles and pouts but you're|able to tape her mouth shut.)
ClothGag,(She struggles and pouts but you're able to|push the wad inside her mouth and tie the gag.)
CuffsKey,(She positions her hands so|you can unlock her easily.)
VibratingEgg,(She closes her legs when she sees|the egg but you're able to slide it in.)
ChastityBelt,(She panics when she sees the belt|but you're able to lock it tightly on her.)
MasturbateBelt,(You try to masturbate her but fail.|You can barely fit a finger under her belt.)
MasturbateNoLove,(You masturbate her at a loving pace|but she stays silent and struggles.)
MasturbateLove,(You masturbate her at a loving pace|and she can't hide her pleasure moans.)
MasturbateOrgasm,(She loses control of her body and|gets a shattering orgasm in the library.)
GreatKiss,"(At first she's cold but your seducing kiss|surprisingly aroused her, she enjoyed it.)"
TestMakeLoveFail,(She shakes her head no and quickly|jumps off the couch and leaves.)
StripRevealBelt,(She nods and you both strip down.|She quickly notices your chastity belt.)
JenniferOralOrgasm,"(You sense her trembling in strong ecstasy.|She screams silently, getting a nice orgasm.)"
PlayerOralOrgasm,"(Without much sexual experience, Jennifer is|able to lick you and bring you to a sweet orgasm.)"
PleasureMeFirst,No.  I want to be pleasured first.|(She pushes you on your knees.)
JenniferIsDone,"Oh no, I'm fine.  You can continue.|(She stays on her knees, between your legs.)"
SneakyEgg,"(While she's not looking, you quickly|sneak a vibrating egg inside her vagina.)"
UnlockBeforeRelease,(She nods and shows you her|cuffs so you can unlock them.)
AcceptStrip,(She looks to make sure that nobody else is|around and slowly strips to her underwear.)
