Tag,Content
SkipIntro,Jennifer sees you but ignores|you and runs to the tennis court.
JenniferObey,Alright.  It's been such a nice lunch|break that I can't refuse.  I will obey.
PlayerObey,"Alright.  It's been such a nice lunch|break.  I will be the boss, follow me."
Collar,(You need +20 submission or better|and a special ceremony to collar Jennifer.)
Rope,"(Even if she disapproves, you use the|net and your rope to create a kinky web.)"
Cuffs,(You lock the cuffs behind her back.|Attaching her to the tennis net.)
BallGag,(She shakes her head no but you're|able to push the gag in and strap it.)
TapeGag,(She tries to avoid your hands but|you're able to tape her mouth shut.)
Uncuff,(You unlock her cuffs and she's|now free from the tennis net.)
Crop,(She whimpers while you whip her|pretty hard.  She doesn't seem to enjoy.)
VibratingEgg,(She struggles to keep the egg|away but you're able to push it in.)
VibratingEggFail,(She shakes her head no and|pushes the vibrating egg away.)
Spank,(She struggles in her restrains as|you spank her butt pretty hard.)
MasturbateOrgasm,"(She struggles and suddenly loses|control of herself, getting a nice orgasm.)"
MasturbateEgg,(You masturbate her lovingly while|she trembles and moans quietly.)
MasturbateNoEgg,(You masturbate her lovingly but|she doesn't seem to be in the mood.)
LeaveBoundAndGagged,(Do you really want to abandon her|bound and gagged?  Click again to do so.)
Count1,One!
Count2,Two!
Count3,Three!
Count4,Four!
Count5,Five!
Count6,Six!
Count7,Seven!
Count8,Eight!
Count9,Nine!
Count10,Ten!
PushUpQuality0,That push-up was horrible!
PushUpQuality1,You can do better than that!
PushUpQuality2,Don't give up!  You can do it.
PushUpQuality3,"You're doing great, keep it up!"
PushUpSuccess,You did it!  That was great.|(You stand up and dust your skirt.)
PushUpFail,You did it but that was pretty lame.|You deserve to be punished for that.
StopRacket,That's enough.  Your butt is red enough.|So how are you?  Was your punishment fair?
ReleaseRacket,(She swings on last time and releases you.)|So how are you?  Was your punishment fair?
