Tag,Content
EatAlone1,"Incapable ou trop timide pour trouver une amie, vous mangez seule."
EatAlone2,Vous trouvez un restaurant près de l'école et vous vous asseyez.
EatAlone3,"Une fois votre repas terminé, vous rentrez, direction le prochain cours."
Evil1,Vous vous retournez avec un sourire pendant qu'elle se débat.
Early1,"Fatiguée ou ennuyée, vous vous en allez."
EvilEarly2,Vous partez en direction des casiers et la cloche sonne.
EvilEarly3,Dépêchez-vous ! Ne soyez pas en retard pour votre prochain cours.
RegularBonus1,"La cloche sonne, et vous retournez toutes les deux à l'école."
Regular2,Vous vous saluez l'une l'autre et marchez en direction des casiers.
Bonus2,"Juste avant de vous séparer, elle vous envoie un doux baiser."
RegularBonus3,Dépêchez-vous ! Ne soyez pas en retard pour votre prochain cours.
NoFood1,Vous êtes libérée et la cloche sonne durant votre retour.
NoFood2,Votre estomac crie famine mais vous n'avez plus assez de temps.
NoFood3,Dépêchez-vous ! Ne soyez pas en retard pour votre prochain cours.
Kinbaku1,Tout le monde est libéré avant que la cloche sonne.
Kinbaku2,Natalie vous offre un formulaire d'inscription au club.
Kinbaku3,Vous quittez le club et vous vous dirigez vers votre prochain cours.
