Tag,Content
FirstRope,(Trop défoncée ou trop captivée par toi.|Elle te laisse faire un harnais de cordes sur elle.)
SecondRope,(Tu enlèves ses bottes et tu enroules|une seconde corde autour de ses jambes.)
Cuffs,(Elle fixe sans rien faire ses poignets pendant que|tu la menottes facilement les mains derrière le dos.)
BallGag,(Elle fronce les sourcils en voyant le bâillon mais ne|résiste pas quand tu le sangles autour de sa tête.)
TapeGag,(Elle te regarde sans rien faire pendant|que tu lui mets du ruban adhésif sur la bouche.)
Uncuff,(Tu lui enlèves les menottes et elle ramène|ses mains devant elle très lentement.)
Crop,"(Elle gémit un peu quand tu la frappes avec la|cravache, mais cela ne semble pas trop la déranger.)"
VibratingEgg,"(Elle remarque à peine que tu glisses l'oeuf dans|son vagin, elle se met à gémir aléatoirement.)"
Collar,"(""+20"" en soumission ou plus et une cérémonie spéciale|sont nécéssaire pour faire porter un collier à Sidney.)"
Extortion,"(Sidney revient et se moque de toi.) Alors ?|Que feras-tu quand je te demanderai de l'argent ?"
InviteWeed,"Ouaip ! On ne peut pas se tromper avec la viande.|Je vais fumer de l'herbe, tu viens ?"
StripLove,"(Vous vous souriez l'une l'autre, tu déboutonnes|lentement son chemisier et tu enlèves sa jupe.)"
StripSub,(Tu la coinces contre le mur tout en déboutonnant|son chemisier et en enlevant sa jupe.)
MasturbateLove,(Tu te penches et tu la masturbes doucement|pendant qu'elle ferme les yeux et gémit.)
MasturbateSub,(Tu la coinces contre le mur et la masturbes|assez vite pendant qu'elle gémit avec plaisir.)
ReadyForOrgasm,(Elle commence à respirer et à gémir rapidement.|Elle semble très proche d'avoir un orgasme.)
LeaveBoundAndGagged,(Voulez-vous vraiment l'abandonner ligotée et|bâillonnée ? Cliquez à nouveau pour le faire.)
