Tag,Content
Intro1,It's 15:40 and the teacher finally comes into class.
Intro2,"She introduces herself as Mildred, a substitute teacher."
Intro3,She's carrying a briefcase and a rigid leather crop.
Intro4,She stares at Sidney who removes her feet from her desk.
Intro5,She stands in front of the podium and speaks to everyone.
IntroDefiant1,It's 15:40 and the teacher finally comes into class.
IntroDefiant2,You recognize Mildred who will be the substitute teacher.
IntroDefiant3,She's carrying a briefcase and a rigid leather crop.
IntroDefiant4,She gives you a defiant look and points the crop at you.
IntroDefiant5,She stands in front of the podium and speaks to everyone.
