Tag,Content
NoCrime1,"La cloche sonne à nouveau, le cours d'arts plastiques est terminée."
NoCrime2A,"Vous êtes finalement libérée et vous, vous rhabillez."
NoCrime2B,Vous arrêtez de poser et vous vous asseyez pour rapidement vous relaxer.
NoCrime2C,Vous finissez votre peinture et la donnez à Julia.
NoCrime3,"Votre prochain cours est à 10H30, mieux vaut ne pas être en retard."
Crime1,"La cloche sonne à nouveau, le cours d'arts plastiques est terminée."
Crime2A,"Vous êtes finalement libérée et vous, vous rhabillez."
Crime2B,Vous arrêtez de poser et vous vous asseyez pour rapidement vous relaxer.
Crime2C,Vous finissez votre peinture et la donnez à Julia.
Crime3A,"Lorsque vous quittez la classe, Mildred vous attend."
Crime3B,"Lorsque vous quittez la classe, Yuki vous attend."
Crime4,"Furieuse, elle reste silencieuse mais saisit fermement votre bras."
Crime5,"Elle vous entraîne vers le sous-sol, là où personne ne va."
