Tag,Content
Easy,Facile
Normal,Normal
Hard,Difficile
Impossible,Impossible
Struggle0,Clique rapidement sur une entrave pour essayer de te libérer.
Struggle1,Clique rapidement sur une entrave pour essayer de te libérer.
Struggle2,Trouve un moyen de sortir de la cellule.
Struggle3,Trouve un moyen de te libérer.
Legs,Lutte pour atteindre et défaire les noeuds au niveau des jambes !
LegsSuccess,Tu as réussi ! Tu as libéré tes jambes !
Crotch,Stimule-toi avec la corde d'entrejambe !
CrotchSuccess1,"Combiné avec l'oeuf, la corde d'entrejambe te donne un doux orgasme."
CrotchSuccess2,"La corde est très agréable, mais ce n'est pas assez pour avoir un orgasme."
ArmsImpossible,Lutte pour libérer tes bras !
CollarImpossible,Lutte pour briser le collier !
BallGagImpossible,Lutte en crachant sur le bâillon !
Collar,Lutte pour détacher le collier avec ton pied ! 
CollarSuccess,Tu as réussi ! Le collier est détaché.
PickLock,Lutte pour crocheter la serrure !
PickLockSuccess,Bien joué ! Tu peux quitter la cellule.
CutRope,Lutte pour couper la corde !
CutRopeSuccess,Tu as réussi ! Tu peux t'échapper du sous-sol.
