Tag,Content
SurpriseAttack,"(Sans préavis, elle bondit sur toi, te force|à te pencher sur ton bureau et soulève ta jupe.)"
BallGag,"(Tu enfonces la boule dans sa bouche et attaches|les sangles pendant qu'elle proteste, incomprise.)"
UnlockWarning,(Es-tu vraiment sûre de vouloir la libérer ?|Clique sur la clé une nouvelle fois.)
Unlock,"(Après l'avoir libéré, elle te cloue sur place et t'attache.)|Vous venez de faire le bon choix Mademoiselle."
Rope,"(Tu fais des ronds avec la corde sur son corps, et|des noeuds serrés. Puis, tu enlèves ses menottes.)"
Cuffs,(Tu la menottes encore et défais les noeuds|pendant qu'elle essaye de te frapper sans succès.)
Disturb1,"(Elle te regarde brièvement.) Jeune fille !|Reste tranquille, nous parlerons après le cours."
Disturb2,"(Elle te regarde avec colère.) Mademoiselle !| Vous allez arrêter de perturber la classe maintenant !"
Disturb3,"(Elle à l'air furieuse.) Dernier avertissement !| La prochaine fois, je te menotte et te bâillonne."
Disturb4,"(Elle te cloue sur place et soulève ta jupe.) Jeune fille,|aujourd'hui tu vas recevoir une leçon de discipline."
SubdueAlone,"(Seule, tu échoues et elle te cloue sur place.)|Jeune fille, tu vas recevoir une leçon de discipline."
SubdueSidney,"(Vous échouez, elle te cloue sur place.) Jeune fille,|aujourd'hui tu vas recevoir une leçon de discipline."
SubdueAmanda,"(Vous échouez, elle te cloue sur place.) Jeune fille,|aujourd'hui tu vas recevoir une leçon de discipline."
SubdueSarah,"(Vous échouez, elle te cloue sur place.) Jeune fille,|aujourd'hui tu vas recevoir une leçon de discipline."
SubdueSuccess,"(Avec tes assistantes, tu es capable de la déshabiller.|Tu trouves des menottes dans ses affaires et lui mets.)"
