Tag,Content
NoBondage,(Elle te repousse.) Qu'est-ce que tu fais ?|Nous sommes censées peindre.
CropForInfo,"(Tu la fouettes d'un coup sec.) Ouïe ! Ok Ok ! Parle-lui |de ""La Naissance de Vénus"" de Sandro Botticelli."
RefuseBondage,(Elle te repousse et te regarde fixement.)|Non ! Tu ne m'attacheras pas.
Bondage,(Elle essaye de t'arrêter|mais tu la maîtrises et l'attaches.)
NoGag,(Elle repousse ta main.) C'est non !
BallGag,(Elle ferme sa bouche alors tu forces|pour lui mettre le bâillon.)
TapeGag,(Elle secoue la tête de gauche à droite|mais tu parviens à lui coller sur la bouche.)
Crop,(Tu lui donnes quelques coups avec la cravache.|Elle crie et pleure de douleur.)
VibratingEggWarning,"(Tu ne pourras peut-être pas récupérer l'oeuf si|tu l'insères, cliquez à nouveau pour confirmer.)"
VibratingEggInsert,"(Jennifer voit l'oeuf et essaie de s'éloigner, tu réussis|à l'insérer. Depuis, elle tremble aléatoirement.)"
GaggedKiss,"(Embâillonnée, Tu essayes de l'embrasser|mais ça n'a créé qu'une situation embarrassante.)"
TightenGagged,(Tu resserres les noeuds pendant qu'elle se débat|et elle semble très nerveuse.)
Tighten,Aaaaarrh ! Fait attention !|(Elle semble très nerveuse.)
TightenFail,(Tu essayes de resserrer les liens de Jennifer|mais tu échoues et les autres étudiantes rigolent.)
Tickle,"(Tu la chatouilles devant la classe. Embarrassée,|elle se recroqueville et essaye de te frapper.)"
TickleFail,"(Tu tâtonnes un peu mais tu arrives à la chatouiller.|elle se couvre de honte et essaye de te frapper.)"
EarnTrust,J'essaierai de te faire confiance.|Tout ceci me rend nerveuse.
EggComment,"Mais, mais, mais...  Je, je...  Ok.|(Elle incline sa tête.)"
PlayerUntie,"(Elle rougit et se lève pour te détacher.)|Et voilà mon amie, je parie que c'était bien humiliant."
PlayerStayTied,"(Elle est trop nerveuse pour t'aider.)|(""+3"" en amour ou plus pour obtenir de l'aide.)"
NoTimeToPaint,(Il ne reste plus assez de temps|pour produire une oeuvre d'art.)
