Tag,Content
SecondRope,"(You add more ropes around legs and|bind them tight, forcing her to kneel.)"
FirstRope,(You circle the rope around her body|while she tests your rope skills playfully.)
Cuffs,(She nods happily while you push|her hands behind her and cuff them.)
BallGag,(She moves her head closer to|make it easier for you to gag her.)
TapeGag,(She moves her head closer to|make it easier for you to gag her.)
Uncuff,(She moves playfully to make it harder for|you to uncuff her but you manage to do it.)
Crop,(You whip her breast swiftly with the crop|while she seems to scream of pleasure.)
VibratingEgg,(She nods as she sees the egg and|open her legs so you can slide it in.)
Collar,(You need +20 submission or better|and a special ceremony to collar Sarah.)
BackFromRestroom,(Sarah finally comes back from|the restroom and sits down.)
OpenRestroomDoor,"(Sarah opens the door and lets you in.)|Come in, come in!  What's the hurry?"
Orgasm,(You both explode on a wonderful|orgasm almost at the same time.)
LeaveBoundAndGagged,(Do you really want to abandon her bound|and gagged?  Click again to do so.)
