Tag,Content
SkipIntro,Jennifer te voit mais t'ignore et|se dirige vers le terrain de tennis.
JenniferObey,D'accord. Ça a été une si belle pause déjeuner.|que je ne peux pas refuser. J'obéirai.
PlayerObey,"D'accord. Ça a été une si belle pause déjeuner.|Je serai la chef, suis-moi."
Collar,"(""+20"" en soumission ou plus et une cérémonie spéciale|sont nécéssaire pour faire porter un collier à Jennifer.)"
Rope,"(Même si elle désapprouve, tu utilises le filet|et ta corde pour créer une toile bien excentrique.)"
Cuffs,"(Tu la menottes les mains dans le dos,|en l'accrochant au filet de tennis.)"
BallGag,(Elle secoue la tête mais tu réussis|à lui mettre le bâillon et à l'attacher.)
TapeGag,"(Elle essaie d'éviter tes mains, mais tu parviens|à lui mettre le ruban adhésif sur la bouche.)"
Uncuff,"(Tu la libères de ses menottes,|elle est libérée du filet de tennis.)"
Crop,(Elle gémit sous tes durs coups de|cravache. Elle n'a pas l'air d'apprécier.)
VibratingEgg,(Elle lutte pour repousser l'oeuf|mais tu arrives à l'insérer à l'intérieur.)
VibratingEggFail,(Elle te fait non de la tête|et repousse l'oeuf vibrant.)
Spank,(Elle se débat sur ses entraves pendant|que tu lui donnes une bonne fessée.)
MasturbateOrgasm,"(Elle se débat et perd soudain le contrôle|d'elle-même, obtenant un bel orgasme.)"
MasturbateEgg,(Tu la masturbes avec amour pendant qu'elle|tremble et gémit paisiblement.)
MasturbateNoEgg,(Tu la masturbes avec amour mais|elle n'a pas l'air d'en avoir envie.)
LeaveBoundAndGagged,(Voulez-vous vraiment l'abandonner ligotée et|bâillonnée ? Cliquez à nouveau pour le faire.)
Count1,Un !
Count2,Deux !
Count3,Trois !
Count4,Quatre !
Count5,Cinq !
Count6,Six !
Count7,Sept !
Count8,Huit !
Count9,Neuf !
Count10,Dix !
PushUpQuality0,Cette pompe était affreuse !
PushUpQuality1,Tu peux faire mieux que ça !
PushUpQuality2,N'abandonne pas ! Tu peux le faire.
PushUpQuality3,"Tu t'en sors bien, continue comme ça !"
PushUpSuccess,Tu l'as fait ! C'était génial.|(Tu te lèves et dépoussière ta jupe.)
PushUpFail,"Tu l'as fait, mais c'était plutôt nul.|Tu mérites d'être punie pour ça."
StopRacket,"C'est suffisant. Ton fessier est assez rouge. Alors,|comment te sens-tu ? Ta punition était-elle suffisante ?"
ReleaseRacket,"(Elle te donne un dernier coup et te libère.) Alors,|comment te sens-tu ? Ta punition était-elle suffisante ?"
