Tag,Content
Rope,"(Tu formes des cercles avec la corde sur son corps,|ce qui la fait gémir un peu plus fort à chaque noeud.)"
Cuffs,"(Tu lui mets les mains derrière le dos et|tu la menottes, elle frissonne à chaque ""clic"".)"
BallGag,(Elle secoue la tête mais tu lui mets quand|même le bâillon et le boucle fermement.)
TapeGag,(Elle secoue la tête mais tu lui mets|quand même le ruban sur la bouche.)
Uncuff,(Tu utilises la clé et tu la relâches.|Elle gémit et attrape rapidement la clôture.)
Crop,(Tu lui donnes un violent coup de cravache.|Elle pleure et n'a pas l'air d'aimer ça.)
VibratingEgg,"(Elle serre les jambes, mais en poussant|assez fort tu arrives à le glisser à l'intérieur.)"
Collar,"(""+20"" en soumission ou plus et une cérémonie spéciale|sont nécéssaire pour faire porter un collier à Amanda.)"
LoveNoItem,(Elle repousse ta main et l'objet.)|L'ambiance n'est pas la plus propice pour ça chérie.
SubbieNoItem,"(Elle repousse ta main et l'objet.)|J'ai déjà tout ce dont j'ai besoin, ""Soumise""."
Orgasm,(Elle ne peut plus se contrôler davantage et a|un orgasme silencieux dans la cour de l'école.)
Masturbate,(Elle gémit bruyamment pendant que tu la touches.|tremblant sans contrôle par ton contact affectueux.)
LoveStart,(Vous vous soulevez chacune spontanément la jupe|et commencez à vous masturber l'une l'autre.)
LoveMasturbate,"(Le toucher d'Amanda te donne un magnifique|orgasme. Te voyant jouir, elle s'arrête et se retire.)"
SubbieMasturbate,"(Le toucher d'Amanda te donne un magnifique|orgasme. Te voyant jouir, elle s'arrête.)"
LeaveBoundAndGagged,(Voulez-vous vraiment l'abandonner ligotée et|bâillonnée ? Cliquez à nouveau pour le faire.)
