Tag,Content
NoBondage,"Ça a l'air excitant, mais nous avons besoin de l'accord|de Julia pour faire quelque chose de coquin."
Rope,(Elle frissonne et gémit pendant que tu attaches|son corps et ses bras.) C'est merveilleux.
BondageBeforeGag,"(Elle rit et repousse tes mains.)|Non, non, non, tu dois d'abord m'attacher."
BallGag,(Elle ouvre avidement sa bouche pour que tu puisses|lui attacher le bâillon autour de sa tête.)
TapeGag,(Elle ferme joyeusement sa bouche|pour que tu puisses facilement coller le ruban.)
Crop,(Tu lui donnes quelques coups avec la cravache.|Elle gémit et semble apprécier.)
VibratingEggWarning,"(Tu ne pourras peut-être pas récupérer l'oeuf si|tu l'insères, cliquez à nouveau pour confirmer.)"
VibratingEggInsert,(Sarah voit l'oeuf et acquiesce joyeusement.|Tu l'insères et elle se met à gémir de façon aléatoire.)
TightenGagged,(Tu resserres les noeuds pendant qu'elle gémit|et semble avoir beaucoup de plaisir.)
Tighten,"(Tu resserres les noeuds pendant qu'elle gémit.)|Mmmm, on peut se voir après les cours ?"
TightenFail,(Tu essayes de resserrer les liens de Sarah|mais tu échoues et les autres étudiantes rigolent.)
PlayerRelease,Oui Madame. Quelqu'un comme vous ne devrait|pas être attachée. (Elle te libère du bondage.)
PlayerGag,T'aider ? Ah oui ! Je sais ce qui pourrait aider.|(Elle trouve du ruban adhésif et le colle sur ta bouche.)
NoTimeToPaint,(Il ne reste plus assez de temps|pour produire une oeuvre d'art.)
