Tag,Content
PlayerBallGag,"You pull the harness over your head,|push the ball in and strap the buckles."
PlayerClothGag,"You stuff the wadding in your mouth, then tie|more cloths over your mouth and around your head."
PlayerTapeGag,You pull a band of duct tape and|apply it firmly over your mouth.
PlayerVibratingEgg,You quickly slip the vibrating egg into your vagina.
PlayerChastityBelt1,Are you sure you want to lock the|belt on yourself?  Click again to do so.
PlayerChastityBelt2,"You take a deep breath and close the belt|on yourself.  It locks with a loud ""click""."
LockAllManacles,You kneel down to get your ankles in their manacles.|Once locked on you secure your wrists behind you.
JennaAppears,After a while Jenna enters the room|and walks over to you.
StareDown,"(You fix Jenna with a stern gaze, making her blink first.)|Would you like to have that gag removed?"
JennaRemovesGag,I suppose I can help you out. (She removes your gag.)|So who locked you in those?
LieToJenna,"Don't lie to me, Cassidy sent me a picture message.|You are my slave now, behave properly."
LooseTime,You loose and you only lasted COMMON_NUMBER|So do you deserve some relief?
DecentTime,"Well done, lasting COMMON_NUMBER is a good attempt.|So do you deserve some relief?"
ImpressiveTime,"Wow, you lasted COMMON_NUMBER, that is impressive.|So do you deserve some relief?"
LoosePeakTime,You loose and you only took COMMON_NUMBER to peak.|So do you deserve some relief?
DecentPeakTime,"Well done, lasting COMMON_NUMBER before peaking is|a good attempt.  So do you deserve some relief?"
ImpressivePeakTime,"Wow, you lasted COMMON_NUMBER before peaking.|That is impressive.  So do you deserve some relief?"
TeaseStage1,Jenna teases your body with tickling and the brush.
TeaseStage2,Jenna teases your nipples.
TeaseStage3,Jenna teases your clitoris.
TeaseStage4,"Jenna gently teases your clitoris,|keeping you on edge."
BreastsOut,(Jenna pulls down the cups of your bra and|lifts your breasts out to start teasing them.)
PantiesDown,(Jenna pulls your panties down|and starts lightly brushing your crotch.)
ClitBrushChaste,(Jenna spreads your lips and starts teasing your clitoris|through the slit in the chastity belt with the brush.)
DisruptBreathing,"(Jenna covers your mouth and pinches your nose,|temporarily upsetting your self control technique.)"
IntensifySenses,"(You try to shut it out, but it just seems|to intensify the brushing sensation now. "
ShortenLeash,"I warned you. (Jenna uses another padlock to shorten|the leash chain to the wall taught, holding you up.)"
NoSit,(The leash chain holds you up.|You can only kneel now.)
SexyThoughts,"(You try to distract yourself, but can't help|yourself from having more arousing erotic thoughts."
RememberOrgasms,"(All those previous orgasms today,|getting an orgasm is your favorite thing right now.)"
BadLanguageGagged,"I don't have any soap to hand, but did I warn you.|(Jenna packs your mouth full with a gag.)"
NoAvoid,"(With the short leash chain, you can barely|move and have no way of avoiding the teasing now.)"
NoBanana,Stop whinging and crying wolf on me.|(Jenna carries on teasing you.)
WhatWasThat,What was that? I didn't quite hear you.
CoverUp,"I am sorry, I didn't mean to push you too far.|(Jenna rearranges your underwear.)"
CoverUpGag,"I am sorry, I didn't mean to push you too far.|(Jenna rearranges your underwear and removes the gag.)"
Reward,I think you have deserved some relief.|(Jenna produces a large vibrator.)
NoReward,"I was tempted to relieve you, but that was too easy.|(She smartens you up and then leaves you there.)"
DoubleGrind,"You are too impatient, learn some manners.|(She smartens you up and then leaves you there.)"
DoneFor,You've already cum Sweetie.|(Jenna stops and releases you from the manacles.)
Mistress,One more thing we need to do now.|(Jenna holds up a collar.)
SeeCollar,"Stand still, I want to see that collar you're wearing."
LockCollar,"(Jenna tightens your collar and padlocks it.)|Thats better, I really am your mistress now, my pet."
Collar,
Crop,
Rope,
Cuffs,
BallGag,
TapeGag,
ClothGag,
VibratingEgg,
Blindfold,
