Stage,LoveReq,SubReq,VarReq,Interaction,Result,NextStage,LoveMod,SubMod,Function
0,0,0,,我不知道啊。我也|有一个卡在里面了。,可怜的家伙。好吧我猜那只有一个结果。|那么我们得为柔道组队了。,5,0,-1,
0,0,0,,你不要拿掉它。|你要享受它。,这一点也不有趣而且我也不享受。|（她叹了口气。）我猜我们得为柔道组队。 ,5,-1,0,
0,0,0,,我不太确定，我会|研究一下。,天啊！你研究出来后尽早告诉我。|我猜我们得为柔道组队。 ,5,0,0,
0,0,0,,你拿不掉它的。|它会永远待在里边。,我希望我不用去医院。|（她叹了口气。）我猜我们得为柔道组队。,5,-1,0,
0,0,0,,别担心，待会|我会帮你的。,好吧，我相信你。|所以你想为柔道组个队吗？,5,1,0,
0,0,0,,如果你是个乖|孩子我就会帮你。,乖孩子？嗯，好吧。|我们是不是要为柔道组个队？,5,0,1,
5,0,0,,我猜|我们得组个队。,好的。所以你之前试过柔道吗？,10,0,0,
5,0,0,,为什么除了你|每个人都配对了？,没……没什么原因。你以前试过柔道吗？,10,-1,0,
5,0,0,,太棒了！组队一定|很好玩！,就是这样的精神头！你以前试过柔道吗？,10,1,0,
10,0,0,,这将是我头一回|尝试柔道。,没事，学习对你来说也是很有趣的。|你想先练习一下还是直接来场真的战斗？,20,0,0,
10,0,0,,我还从来没试过呢，|对我手下留情点。,别担心，我不会伤到你的。|你想先练习一下还是直接来场真的战斗？,20,0,-1,
10,0,0,,我以前试过，|挺有意思的。,太棒了！我确定这堂体育课会很有意思。|你想先练习一下还是直接来场真的战斗？,20,0,0,
10,0,0,,我懂得柔道，|而且我要好好收拾你。,哦！我们走着瞧。|你想先练习一下还是直接来场真的战斗？,20,0,1,
20,0,0,,教教我|怎么打。,战斗无非就是算好时间，抓住机会攻击。（当打击图标到达横条时按A，S，K或L键。P）,20,0,0,ExplainMobile()
20,0,0,,来练习吧。|（开始练习。）,,20,0,0,StartPractice()
20,0,0,,来一场真正的比试。|（开始战斗。）,,20,0,0,StartFight()
100,0,0,,怎么制服你？,你需要脱掉我的衣服并使用那些绳子。|对我而言，我会尝试扭转局势。,110,0,0,GetRope()
100,0,0,,在拘束之下|你会显得很可爱。,我，我，我猜是吧。现在你需要脱掉我的衣服|并使用那些绳子。我会尝试抵抗。,110,1,0,GetRope()
100,0,0,,太容易了，你是|个差劲的战士。,我这次会更努力的。现在你 |需要脱掉我的衣服并使用那些绳子。,110,-1,1,GetRope()
100,0,0,,太好了！|现在你是我的了。,还没呢！我会尝试抵抗你。 现在你 |需要脱掉我的衣服并使用那些绳子。,110,0,1,GetRope()
110,0,0,,让我们来一场友好的战斗。|（开始战斗。）,,110,0,0,StartWinFight(true)
110,0,0,,我要粉碎你！|（开始战斗。）,,110,0,0,StartWinFight(false)
200,0,0,,要怎么把我制服？,我需要脱掉你的柔道|服并用上绳子。,210,0,0,
200,0,0,,你打得真不错。|但是你需要制服我？,谢谢！我的下一个防卫动作要|脱掉你的衣服并在你身上使用绳子。,210,1,0,
200,0,0,,你不会伤害我吗？,当然不会。我的下一个防卫动作要|脱掉你的衣服并在你身上使用绳子。,210,0,-1,
200,0,0,,你会把我绑|起来？太赞了！,集中注意力。我的下一个防卫动作要|脱掉你的衣服并在你身上使用绳子。,210,0,-1,
210,0,0,,请对我手下留情。|（开始战斗。）,,210,0,0,StartLoseFight(true)
210,0,0,,这次我不会输的！|（开始战斗。）,,210,0,0,StartLoseFight(false)
400,0,0,,很有趣。你|喜欢被绑起来的感觉吗？,（她脸红了。） 这不应该有色情|的感觉，只是防卫而已。,410,0,1,
400,0,0,,这是场高水平的比赛。|你很有潜力。,谢谢！但我还需要更多|练习来挑战你。,410,1,0,
400,0,0,,你没法真正战斗。|你需要我的保护。,你的保护？你认为？哦天啊。|我当然需要更多的练习。,410,-1,1,
