Tag,Content
Rope,"(You circle the rope around her body, making|her moan a little louder with each knots.);"
Cuffs,"(You pin her hands behind her back and|cuff them, she shivers with each 'click'.)"
BallGag,(She shakes her head no but you push|the ballgag in and buckle it tight.)
TapeGag,(She shakes her head no|but you tape her mouth shut.)
Uncuff,(You use the key and release her.|She moans and quickly grabs the fence.)
Crop,(You hit her pretty hard with the crop.|She cries and doesn't seem to enjoy it.)
VibratingEgg,(She squeezes her legs but you're able|to push it hard enough to slide it in.)
Collar,(You need +20 submission or better|and a special ceremony to collar Amanda.)
LoveNoItem,(She pushes your hand and the item away.)|The mood isn't right for that sweetheart.
SubbieNoItem,(She pushes your hand and the item away.)|I already have everything I need subbie girl.
Orgasm,(She can't control herself anymore and|gets a quiet orgasm right in the school yard.)
Masturbate,(She moans loudly while you masturbate her.|Trembling without control at your loving touch.)
LoveStart,(You spontaneously raise each other|skirt and start to masturbate each other.)
LoveMasturbate,"(Amanda's touch gives you a wonderful orgasm.|Seeing your pleasure, she stops and pull back.)"
SubbieMasturbate,"(Amanda's touch gives you a wonderful orgasm.|Seeing your pleasure, she stops masturbating you.)"
LeaveBoundAndGagged,(Do you really want to abandon her bound|and gagged?  Click again to do so.)
