Tag,Content
Outro1,"The bell rings again, your last class for the day is over."
NoType,You yawn and stretch after a long and boring class.
LostVersusSidney,Sidney laughs at you and your defeat against her.
WonVersusSidney,"Since you were victorious, Sidney avoids talking at you."
LostVersusMildred,Mildred whips your butt one last time and leaves.
WonVersusMildred,Mildred leaves quickly and doesn't want to talk.
StrictLeader,The students keep a low tone of voice and avoid you.
FairLeader,Some students congratulate you on your performance.
EasyLeader,Many students come to exchange phone numbers.
Outro2,You pick your stuff and walk back to the dormitory.
OutroClub1,"The bell rings again, your last class for the day is over."
OutroClub2,You take your bag and find a mysterious card in it.
OutroClub3,It's an invitation but you don't know from whom.
OutroClub4,"It's for an event tonight at: ""The Bondage Club""."
OutroClub5,You pick your stuff and walk back to the dormitory.
