Tag,Content
Easy,Easy
Normal,Normal
Hard,Hard
Impossible,Impossible
Struggle0,Click rapidly on a restrain to try to struggle out.
Struggle1,Click rapidly on a restrain to try to struggle out.
Struggle2,Find a way out of the cell.
Struggle3,Find a way to free yourself.
Legs,Struggle to reach and undo the leg knots!
LegsSuccess,You did it!  You freed your legs!
Crotch,Stimulate with the crotch rope!
CrotchSuccess1,"Combined with the egg, the crotch rope gives you a sweet orgasm."
CrotchSuccess2,The rope feels very nice but it's not enough to get an orgasm.
ArmsImpossible,Struggle to free your arms!
CollarImpossible,Struggle to break the collar!
BallGagImpossible,Struggle to spit the ballgag!
Collar,Struggle to unstrap the collar with your foot!
CollarSuccess,You did it!  The collar is unstrapped.
PickLock,Struggle to pick the lock!
PickLockSuccess,Well done!  You can leave the cell.
CutRope,Struggle to cut the rope!
CutRopeSuccess,You did it!  You can escape isolation.
