Tag,Content
MildredComesForCuffs,"(Mildred geht zu dir.)|Um sicher zu gehen, dass der Test gut verläuft, werden ich dir Handschellen anlegen junges Fräulein."
SidneyStares,"(Sidney versucht sich zu befreien und schaut dich böse an, während Mildred zurück läuft.)"
TestSidneyCuffs,"(Mildred greift Sdneys Hände und legt Jandschellen an.)|Diese Fesseln werden dir helfen, dich zu konzentrieren."
TestSidneyNoSkirt,"(Mildred zieht an Sidneys Rock und entfernt ihn.)|Ein wenig Demütigung wird dir beibringen, die Hausaufgaben zu machen."
TestSidneyNoSkirtChastity,(Mildred entfernt Sidneys Rock und zeigt ihren Gürtel.)|Erinnere dich an diese Demütigung und lerne mehr.
TestSidneyCrop,"(Mildred schlägt Sidneys Hintern ziemlich doll.)|Wenn dir nichts helfen kann, dizipliniert zu sein, helfen Schmerzen."
TestSidneyCropAgain,(Mildred schlägt Sidneys Hintern und grinst.)|Schmerz wird dich stärker machen. Schmerz wird dich verbessern.
TestPlayerCuffs,"(Mildred greift deine Hände fest und lägt Handschellen an.)|Diese Fesseln werden dir helfen, dich zu konzentrieren."
TestPlayerNoSkirt,"(Mildred zieht an deinen Rock und entfernt ihn.)|Ein wenig Demütigung wird dir beibringen, die Hausaufgaben zu machen."
TestPlayerNoSkirtChastity,(Mildred entfernt deinen Rock und zeigt ihren Gürtel.)|Erinnere dich an diese Demütigung und lerne mehr.
TestPlayerCrop,"(Mildred schlägt deinen Hintern ziemlich doll.)|Wenn dir nichts helfen kann, dizipliniert zu sein, helfen Schmerzen."
TestPlayerCropAgain,(Mildred schlägt deinen Hintern und grinst.)|Schmerz wird dich stärker machen. Schmerz wird dich verbessern.
ShameForDefeat,Du solltest dich schämen.|Du hast gegen denn schlechtesten Schüler verloren.
TestMildredCuffs,"(Sidney grabs Mildred hands and cuffs them.)|Enjoy it Sidney, you will never do this again."
TestMildredNoSkirt,"(Sidney pulls on Mildred's skirt and removes it.)|This is unbelievable, I will not lose again."
TestMildredCrop,(Sidney whips Mildred's butt pretty hard.)|Are you two cheating?  You will pay for that!
TestMildredCropAgain,(Sidney whips Mildred's butt and laughs out loud.)|Ow!  Someday I'll have my revenge on you two.
MildredFreedBySidney,"(Sidney sulks but frees Mildred.)|Yes, so did you learn a lesson?"
TestPlayerCuffsMildred,(Sidney grabs your hands firmly and cuffs them.)|These restrains will help you to focus.
TestPlayerNoSkirtMildred,(Sidney pulls on your skirt and removes it.)|Some humiliation will teach you to do your readings.
TestPlayerNoSkirtMildredChastity,(Sidney removes your skirt and reveals the belt.)|Remember this humiliation and study harder.
TestPlayerCropMildred,"(Sidney whips your butt pretty hard.)|If nothing can discipline you, pain will."
TestPlayerCropAgainMildred,(Sidney whips your butt and laughs out loud.)|Pain will make you stronger. Pain will make you better.
MildredShameForDefeat,"(She bows her head.)  Yes, the test is over.|Congratulations little miss, you're victorious."
